time,msg/s,Mbit/s,failure_msg/s,mean,med,95pct,99pct,99.9pct,99.99pct,Max
1606247573,4333.4,33.9,0.0,621.315,395.225,1544.031,1580.887,4965.855,5748.351,5748.447
1606247583,6699.3,52.3,0.0,476.962,303.215,1034.531,5713.791,6036.383,6089.151,6090.079
1606247593,9066.9,70.8,0.0,442.485,308.171,807.375,1133.247,23092.351,27319.551,27319.679
1606247603,8276.0,64.7,0.0,472.566,400.971,833.211,876.507,32132.095,35205.375,35292.927
1606247613,4923.4,38.5,0.0,1262.135,395.851,5197.407,39993.343,41843.967,41844.223,41844.223
1606247623,10277.9,80.3,0.0,643.007,574.159,1365.367,1742.311,1874.023,1874.295,5980.159
1606247633,7990.8,62.4,0.0,593.107,384.385,1528.815,3457.695,5588.735,5588.959,5589.663
1606247643,5354.5,41.8,0.0,1092.668,450.809,5008.383,5302.815,5360.767,5360.959,5361.023
1606247654,5301.0,41.4,0.0,1027.505,409.345,2993.183,6594.367,7157.215,7157.343,7366.495
1606247664,10189.0,79.6,0.0,519.330,372.989,1316.015,1722.743,2205.503,2205.935,2510.463
1606247674,9379.7,73.3,0.0,500.040,347.937,1413.415,3304.079,3954.847,3955.135,3957.487
1606247684,2447.3,19.1,0.0,2154.613,1297.271,5614.911,8156.319,8156.991,8157.119,8160.927
1606247694,7307.7,57.1,0.0,613.618,349.017,1685.199,3802.223,6080.607,6080.799,6081.695
1606247704,8150.2,63.7,0.0,677.379,480.699,2018.959,8938.687,9987.519,9987.775,9987.775
1606247714,10351.6,80.9,0.0,523.956,366.791,1348.719,2404.751,4843.807,4844.031,4844.063
1606247724,3324.2,26.0,0.0,774.339,266.271,5994.655,10238.975,10244.543,10244.671,10245.695
1606247734,6229.7,48.7,0.0,821.250,358.579,3060.143,11862.591,11864.063,11864.191,11864.191
1606247744,5365.3,41.9,0.0,1053.522,459.969,5113.343,8487.551,11098.111,11098.239,11098.239
1606247754,9549.4,74.6,0.0,577.163,287.441,1553.775,8430.655,10383.615,10383.807,10386.303
1606247765,4812.8,37.6,0.0,940.974,465.565,2744.239,10985.983,11974.143,11974.335,12044.799
1606247775,11457.3,89.5,0.0,635.487,412.965,1899.559,5464.543,13074.815,13075.071,13076.159
1606247785,5042.4,39.4,0.0,729.266,369.601,2903.519,6070.751,6256.671,6256.863,6256.927
1606247795,7582.9,59.2,0.0,703.235,402.817,1920.055,5693.503,10207.615,10208.063,10208.127
1606247805,4533.7,35.4,0.0,887.780,389.829,5482.111,6189.151,6271.455,6271.647,6271.647
1606247815,8684.6,67.8,0.0,605.011,404.409,1738.471,6148.415,7431.423,7431.679,7431.711
1606247825,4899.8,38.3,0.0,740.650,334.813,2612.383,8776.127,8777.599,8777.791,8890.815
1606247835,5767.7,45.1,0.0,624.241,319.289,1571.015,14516.159,14518.399,14518.527,14518.527
1606247845,7927.5,61.9,0.0,718.879,355.261,2115.167,4846.335,18243.327,18243.711,18247.807
1606247855,8450.9,66.0,0.0,670.558,438.951,2294.335,3589.615,3887.791,3888.079,3978.655
1606247866,4803.4,37.5,0.0,1244.596,631.523,3849.663,3899.039,5580.799,5580.959,5774.783
1606247876,10485.6,81.9,0.0,486.826,329.569,1423.127,2573.183,3304.719,3304.991,3305.039
1606247886,5244.1,41.0,0.0,1050.776,640.355,3314.591,4793.183,4796.671,4796.959,4796.991
1606247896,8143.5,63.6,0.0,638.346,445.639,2090.639,3777.791,4068.431,4068.911,4161.071
1606247906,8237.9,64.4,0.0,592.273,398.539,1625.055,3886.159,4218.847,4219.903,4259.487
1606247916,2536.7,19.8,0.0,1046.945,449.555,5100.575,7890.079,7890.943,7891.071,7891.071
1606247926,3335.7,26.1,0.0,1507.496,385.159,5843.775,11932.927,11933.695,11933.759,11935.039
1606247936,6347.6,49.6,0.0,542.608,303.221,2032.791,5179.103,10243.775,10243.967,10345.663
1606247946,5926.5,46.3,0.0,885.699,530.295,2971.775,7896.543,12336.703,12336.831,12336.831
1606247956,9962.5,77.8,0.0,504.717,369.465,1589.327,2298.735,4061.951,4062.319,5112.895
1606247966,1911.3,14.9,0.0,2200.590,1777.823,6169.983,7427.167,7427.807,7427.871,7430.335
1606247977,6644.2,51.9,0.0,844.785,367.615,1991.135,12754.943,14266.175,14266.431,14267.071
1606247987,4794.4,37.5,0.0,857.218,472.251,5111.519,6767.583,7004.543,7004.639,7004.831
1606247997,8394.7,65.6,0.0,456.166,341.235,853.151,1258.391,10680.255,10680.639,10680.703
1606248007,6448.9,50.4,0.0,762.980,454.097,2143.007,7860.799,16448.383,16448.511,16452.223
1606248017,8605.2,67.2,0.0,491.985,358.909,951.091,4294.815,4773.439,4773.663,4773.663
1606248027,5658.4,44.2,0.0,673.207,338.161,4432.287,6906.239,8024.191,8024.479,8024.575
1606248037,3749.2,29.3,0.0,1151.910,346.295,4699.423,11398.527,11399.359,11399.423,11399.487
1606248047,3864.3,30.2,0.0,1728.216,551.523,5548.607,6637.183,6638.079,6638.175,6638.175
1606248057,8003.4,62.5,0.0,485.936,360.053,1167.759,1843.631,6790.847,6791.167,6791.263
1606248067,2345.9,18.3,0.0,1779.418,1002.079,3445.327,20168.575,20169.471,20169.471,20169.471
1606248077,5855.8,45.7,0.0,1100.118,556.651,2842.847,4888.319,23078.655,23078.911,23131.903
1606248088,7535.7,58.9,0.0,595.576,385.613,1378.303,6968.607,7125.567,7125.919,7126.175
1606248098,6301.2,49.2,0.0,737.979,370.307,2536.559,10596.287,17316.223,17316.351,17316.351
1606248108,3823.4,29.9,0.0,761.635,344.971,2320.031,5988.543,6297.119,6297.343,6297.375
1606248118,7756.3,60.6,0.0,787.036,424.209,3507.935,5688.415,5885.567,5885.727,7120.159
1606248128,2190.2,17.1,0.0,1442.371,778.363,3831.583,10472.831,11416.191,11416.319,11416.319
1606248138,3574.6,27.9,0.0,1501.151,490.227,8099.807,10025.023,10026.239,10026.367,13787.327
1606248148,8257.0,64.5,0.0,608.024,387.153,1728.967,6856.895,7516.703,7516.927,7516.959
1606248158,6728.5,52.6,0.0,888.718,466.997,3101.967,6581.631,8792.703,8792.895,8793.343
